Index,Date,Open,High,Low,Close,Adj Close,Volume,DayOfWeek,Earnings
4278,2017-01-03,2251.570068,2263.879883,2245.129883,2257.830078,2257.830078,3770530000,Tuesday,0
4279,2017-01-04,2261.600098,2272.820068,2261.600098,2270.75,2270.75,3764890000,Wednesday,0
4280,2017-01-05,2268.179932,2271.5,2260.449951,2269.0,2269.0,3761820000,Thursday,0
4281,2017-01-06,2271.139893,2282.100098,2264.060059,2276.97998,2276.97998,3339890000,Friday,0
4282,2017-01-09,2273.590088,2275.48999,2268.899902,2268.899902,2268.899902,3217610000,Monday,0
4283,2017-01-10,2269.719971,2279.27002,2265.27002,2268.899902,2268.899902,3638790000,Tuesday,0
4284,2017-01-11,2268.600098,2275.320068,2260.830078,2275.320068,2275.320068,3620410000,Wednesday,0
4285,2017-01-12,2271.139893,2271.780029,2254.25,2270.439941,2270.439941,3462130000,Thursday,0
4286,2017-01-13,2272.73999,2278.679932,2271.51001,2274.639893,2274.639893,3081270000,Friday,0
4287,2017-01-17,2269.139893,2272.080078,2262.810059,2267.889893,2267.889893,3584990000,Tuesday,0
4288,2017-01-18,2269.139893,2272.01001,2263.350098,2271.889893,2271.889893,3315250000,Wednesday,0
4289,2017-01-19,2271.899902,2274.330078,2258.409912,2263.689941,2263.689941,3165970000,Thursday,0
4290,2017-01-20,2269.959961,2276.959961,2265.01001,2271.310059,2271.310059,3524970000,Friday,0
4291,2017-01-23,2267.780029,2271.780029,2257.02002,2265.199951,2265.199951,3152710000,Monday,0
4292,2017-01-24,2267.879883,2284.629883,2266.679932,2280.070068,2280.070068,3810960000,Tuesday,0
4293,2017-01-25,2288.879883,2299.550049,2288.879883,2298.3701170000004,2298.3701170000004,3846020000,Wednesday,0
4294,2017-01-26,2298.629883,2300.98999,2294.080078,2296.679932,2296.679932,3610360000,Thursday,0
4295,2017-01-27,2299.02002,2299.02002,2291.6201170000004,2294.689941,2294.689941,3135890000,Friday,0
4296,2017-01-30,2286.01001,2286.01001,2268.040039,2280.899902,2280.899902,3591270000,Monday,0
4297,2017-01-31,2274.02002,2279.090088,2267.209961,2278.8701170000004,2278.8701170000004,4087450000,Tuesday,0
